Date,Borlänge,Bräkne-Hoby,Eskilstuna,Forshaga,FYR,Gävle,Göteborg,Hässleholm,Jönköping,Kristianstad,Malmö,Norrköping,Nässjö,Skövde,Stockholm,Sundsvall,Umeå,Visby,Västervik,Östersund
2017-03-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-24,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2017-03-25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2017-03-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2017-03-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-31,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-01,0,0,0,0,0,0,10,0,0,0,0,13,0,1,0,0,0,0,2,0
2017-04-02,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,5,0
2017-04-03,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
2017-04-04,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,2,0,0
2017-04-05,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3,0,0,2,0,0
2017-04-06,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-07,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2017-04-08,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2017-04-09,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0
2017-04-10,0,0,2,0,0,0,14,0,18,0,0,0,4,2,2,0,0,4,22,0
2017-04-11,0,0,0,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,5,0
2017-04-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2017-04-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2017-04-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2017-04-15,0,0,0,0,0,0,4,0,10,0,0,0,0,1,1,0,0,1,4,0
2017-04-16,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0
2017-04-17,0,0,0,6,0,0,2,0,5,0,0,0,0,1,2,0,0,0,2,0
2017-04-18,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0
2017-04-19,0,0,0,1,0,0,0,0,1,0,0,2,2,0,0,0,0,0,14,0
2017-04-20,5,0,0,6,0,3,1,0,4,0,0,5,1,2,1,0,0,8,32,0
2017-04-21,6,0,4,16,0,2,31,0,11,0,0,7,4,2,2,0,0,5,58,0
2017-04-22,0,0,4,6,0,1,54,0,20,0,0,8,2,1,1,0,0,2,38,0
2017-04-23,2,0,2,1,0,8,51,0,8,0,0,1,2,10,1,0,0,0,16,0
2017-04-24,0,0,1,0,0,0,32,0,7,0,0,16,5,14,1,0,0,0,4,0
2017-04-25,0,0,1,1,0,0,34,0,1,0,0,4,1,2,2,0,0,24,0,0
2017-04-26,1,0,2,3,0,1,48,0,0,0,0,5,1,7,2,0,0,6,11,0
2017-04-27,0,0,2,2,0,0,19,0,0,0,0,25,11,6,8,0,0,6,46,0
2017-04-28,0,0,4,6,0,1,26,0,44,0,0,18,26,3,14,0,0,22,42,0
2017-04-29,0,0,13,2,0,0,90,0,6,0,0,40,2,2,5,0,0,5,25,0
2017-04-30,10,0,19,12,0,0,110,0,24,0,0,24,2,14,10,0,0,14,71,0
2017-05-01,46,0,47,25,0,12,779,0,113,0,0,112,68,33,19,0,0,8,142,0
2017-05-02,11,0,90,553,0,1,1233,0,12,0,0,101,22,162,66,0,0,9,20,0
2017-05-03,11,0,75,542,0,0,2038,0,217,0,0,36,35,363,86,0,0,6,5,0
2017-05-04,9,0,44,342,0,3,1552,0,144,0,0,67,29,474,81,0,0,10,15,0
2017-05-05,327,0,277,408,0,44,892,0,54,0,0,128,33,664,140,2,0,6,4,0
2017-05-06,281,0,348,1450,0,99,993,0,358,0,0,197,294,839,224,6,0,77,94,0
2017-05-07,78,0,65,284,0,5,1591,0,289,0,0,70,115,158,72,0,0,21,30,0
2017-05-08,58,0,46,173,0,10,593,0,113,0,0,84,49,519,39,2,0,12,25,0
