Date,Borlänge,Bräkne-Hoby,Eskilstuna,Forshaga,FYR,Gävle,Göteborg,Hässleholm,Jönköping,Kristianstad,Malmö,Norrköping,Nässjö,Skövde,Stockholm,Sundsvall,Umeå,Visby,Västervik,Östersund
2017-05-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2017-05-13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
2017-05-15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017-05-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2017-05-19,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0
2017-05-20,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,2,1,0
2017-05-21,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0
2017-05-22,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
2017-05-23,0,0,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
2017-05-24,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2017-05-25,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,1,0
2017-05-26,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0
2017-05-27,0,0,0,0,0,0,0,0,7,0,0,0,0,1,1,0,0,0,1,0
2017-05-28,0,0,1,4,0,1,6,0,2,0,0,0,0,4,1,0,0,2,2,0
2017-05-29,0,0,6,0,0,2,0,0,2,0,0,2,0,2,0,0,0,0,1,0
2017-05-30,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2017-05-31,0,0,3,0,0,0,1,0,6,0,0,0,1,1,0,0,0,0,0,0
2017-06-01,0,0,0,1,0,0,0,0,14,0,0,0,0,5,0,0,0,2,1,0
2017-06-02,0,0,0,2,0,0,8,0,4,0,0,2,0,4,2,1,0,1,2,0
2017-06-03,1,0,0,2,0,0,14,0,2,0,0,1,1,6,0,0,0,0,2,0
2017-06-04,0,0,2,1,0,0,4,0,0,0,0,0,1,1,1,0,0,1,5,0
2017-06-05,0,0,4,1,0,0,29,0,8,0,0,6,2,5,2,0,0,2,6,0
2017-06-06,17,0,8,6,0,4,19,0,42,0,0,12,24,27,11,3,0,11,34,0
2017-06-07,9,0,4,0,0,4,1,0,10,0,0,13,4,7,7,2,7,2,6,3
2017-06-08,2,0,1,0,0,4,10,0,2,0,0,0,1,3,7,0,1,1,0,0
2017-06-09,2,0,7,0,0,0,18,0,12,0,0,2,17,8,1,0,0,7,12,0
2017-06-10,3,0,8,2,2,1,40,0,31,0,0,7,13,19,16,0,0,8,18,1
2017-06-11,4,0,18,4,4,3,23,0,37,0,0,36,30,41,13,1,0,8,24,0
2017-06-12,1,0,3,3,0,2,11,0,7,0,0,6,2,6,6,0,0,12,8,0
2017-06-13,3,0,2,6,6,0,22,0,7,0,0,1,6,9,6,1,0,3,10,0
2017-06-14,2,0,3,3,25,3,13,0,14,0,0,31,5,26,1,1,0,2,15,0
2017-06-15,5,0,8,10,22,3,34,0,12,0,0,36,6,46,9,0,0,5,15,1
2017-06-16,5,0,11,5,26,4,4,0,13,0,0,29,11,35,9,3,0,29,6,0
2017-06-17,2,0,19,5,16,6,67,0,43,0,0,35,24,29,34,2,0,12,19,1
2017-06-18,6,0,53,10,3,19,69,0,28,0,0,89,35,87,71,3,1,39,55,1
2017-06-19,16,0,25,9,2,12,71,0,20,0,0,52,28,77,41,6,2,20,28,0
2017-06-20,6,0,10,11,4,4,40,0,32,0,0,34,20,44,19,12,1,20,29,1
2017-06-21,4,0,4,8,1,3,42,0,34,0,0,28,17,47,17,8,0,12,24,0
2017-06-22,11,0,26,15,0,2,10,0,18,0,0,18,19,26,22,3,0,24,49,1
2017-06-23,16,0,18,13,0,4,4,0,10,0,0,10,7,8,18,6,2,7,11,4
2017-06-24,0,0,25,54,3,1,22,0,18,0,0,18,19,42,15,4,0,2,21,1
